mm_periodo,aa_periodo,vl_mes,id_periodo_nae,dt_solicitacao,dt_lancamento_sis,id_pessoa_lancamento_sis,dt_cancelado
11,2015,60.00,39,"2015-11-04 00:01:30","2015-11-10 12:39:36",2295,
11,2015,60.00,39,"2015-11-04 00:02:53","2015-11-10 09:47:58",2295,
11,2015,60.00,39,"2015-11-04 00:04:40","2015-11-10 09:15:09",2295,
11,2015,60.00,39,"2015-11-04 00:06:58","2015-11-10 10:44:20",2295,
11,2015,60.00,39,"2015-11-04 00:10:40","2015-11-10 10:51:31",2295,
11,2015,60.00,38,"2015-11-04 00:11:28","2015-11-10 11:48:00",2295,
11,2015,60.00,39,"2015-11-04 00:16:31","2015-11-10 09:51:03",2295,
11,2015,36.00,38,"2015-11-04 00:24:06","2015-11-10 10:47:18",2295,
11,2015,60.00,39,"2015-11-04 00:36:15","2015-11-10 08:38:20",2295,
11,2015,36.00,39,"2015-11-04 00:39:32","2015-11-10 12:23:43",2295,
11,2015,60.00,39,"2015-11-04 00:40:38","2015-11-10 11:45:16",2295,
11,2015,60.00,38,"2015-11-04 00:45:58","2015-11-10 10:49:11",2295,
11,2015,60.00,39,"2015-11-04 00:58:46","2015-11-10 11:29:50",2295,
11,2015,60.00,38,"2015-11-04 01:04:59","2015-11-10 11:16:27",2295,
11,2015,60.00,38,"2015-11-04 01:11:34","2015-11-10 10:26:30",2295,
11,2015,60.00,38,"2015-11-04 01:13:28","2015-11-10 10:30:40",2295,
11,2015,48.00,39,"2015-11-04 01:20:31","2015-11-10 08:27:47",2295,
11,2015,60.00,39,"2015-11-04 01:29:26","2015-11-10 12:07:12",2295,
11,2015,60.00,39,"2015-11-04 01:31:59","2015-11-10 11:43:09",2295,
11,2015,60.00,38,"2015-11-04 01:39:48","2015-11-10 11:31:48",2295,
11,2015,60.00,38,"2015-11-04 02:03:17","2015-11-10 08:36:06",2295,
11,2015,60.00,38,"2015-11-04 02:03:52","2015-11-10 09:23:30",2295,
11,2015,60.00,39,"2015-11-04 02:04:28","2015-11-10 10:56:28",2295,
11,2015,48.00,38,"2015-11-04 02:04:53","2015-11-10 08:46:25",2295,
11,2015,60.00,38,"2015-11-04 02:07:09","2015-11-10 10:54:15",2295,
11,2015,60.00,44,"2015-11-04 02:10:27","2015-11-10 09:24:45",2295,
11,2015,42.00,39,"2015-11-04 02:11:22","2015-11-10 10:44:38",2295,
11,2015,60.00,39,"2015-11-04 02:15:46","2015-11-10 11:45:51",2295,
11,2015,60.00,38,"2015-11-04 02:15:56","2015-11-10 09:01:28",2295,
